web-scraper-order,web-scraper-start-url,article_link,article_link-href,details,etat,adresse,prix,image_lien-src
"1717211948-36","https://www.expat-dakar.com/machines-a-laver?page=17","MACHINE A LAVER DESKA 8KG SEMI AUTOMATIQUE
Neuf
Plateau,
Dakar

26. mars, 18:34

119 000 F Cfa

783050985","https://www.expat-dakar.com/annonce/machine-a-laver-deska-8kg-semi-automatique-6035368","MACHINE A LAVER DESKA 8KG SEMI AUTOMATIQUE","Neuf","Plateau

Dakar","119 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d345e3b0fda0078504cf8a30779e3bf5/-/horizon-files-prod/ed/picture/qv4ej6j2/908c9a9dee68e4191ac1faa842463c8d2f77368a.jpg"
"1717211952-37","https://www.expat-dakar.com/machines-a-laver?page=17","MACHINE A LAVER 7KGS FINIX WG1049
Neuf
Plateau,
Dakar

lundi, 15:50

Vendeur vérifié

184 900 F Cfa

786374400","https://www.expat-dakar.com/annonce/machine-a-laver-7kgs-finix-wg1049-5928709","MACHINE A LAVER 7KGS FINIX WG1049","Neuf","Plateau

Dakar","184 900 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/14ba45fdba09b6ffea7bcc6dfd825aba/-/horizon-files-prod/ed/picture/q4480v6v/4a58c82042b50937590377ca87bb9abc28edf5e4.jpg"
"1717211957-38","https://www.expat-dakar.com/machines-a-laver?page=17","Machine à Laver Hisense 6Kgs
Neuf
Point-e,
Dakar

27. mars, 12:31

Vendeur vérifié

163 999 F Cfa

190 000 F Cfa

Économisez 13.7%

775339898","https://www.expat-dakar.com/annonce/machine-a-laver-hisense-6kgs-6035983","Machine à Laver Hisense 6Kgs","Neuf","Point-e

Dakar","190 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a072a4e4c0e5b50eccc8057422eb5fff/-/horizon-files-prod/ed/picture/q2jqxeze/cc35272988d559a7d194bdde23fc5ce52ea06f02.jpg"
"1717211961-39","https://www.expat-dakar.com/machines-a-laver?page=17","MACHINE A 7KG INVERTER ASTECH A+++
Neuf
Plateau,
Dakar

27. mars, 15:31

198 000 F Cfa

774714823","https://www.expat-dakar.com/annonce/machine-a-7kg-inverter-astech-a-6036121","MACHINE A 7KG INVERTER ASTECH A+++","Neuf","Plateau

Dakar","198 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/feec4b1ba5984ce374aa5eb6dc0ece8c/-/horizon-files-prod/ed/picture/qzvd0nrd/7a54202f20e4c4990e0dfeeb115b0f5b578f50b6.jpg"
"1717211969-40","https://www.expat-dakar.com/machines-a-laver?page=16","Machine à laver 7 kg inverter
Neuf
Plateau,
Dakar

29. mars, 10:33

200 000 F Cfa

773308084","https://www.expat-dakar.com/annonce/machine-a-laver-7-kg-inverter-5980966","Machine à laver 7 kg inverter","Neuf","Plateau

Dakar","200 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9761a71adc07ee81faad3f847b491eba/-/horizon-files-prod/ed/picture/q6xkmwv6/396895485ab99415b9c62cab48d7e34bb1bb7c29.jpg"
"1717211975-41","https://www.expat-dakar.com/machines-a-laver?page=16","Une machine à laver
Neuf
Saint-Louis,
Saint-Louis

5. avr., 10:06

160 000 F Cfa

764146724","https://www.expat-dakar.com/annonce/une-machine-a-laver-6037852","Une machine à laver","Neuf","Saint-Louis

Saint-Louis","160 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/fd025850bdc79d755996de239de5a8b9/-/horizon-files-prod/ed/picture/q8v5w0e6/6d8dfecd5f72342bda86442daa29799b535630c5.jpg"
"1717211980-42","https://www.expat-dakar.com/machines-a-laver?page=16","Machine à laver 9kg inverter
Neuf
Plateau,
Dakar

30. mars, 12:42

239 900 F Cfa

778452442

778452442","https://www.expat-dakar.com/annonce/machine-a-laver-9kg-inverter-6038168","Machine à laver 9kg inverter","Neuf","Plateau

Dakar","239 900 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/baf5758548de4952c25bb6f882226258/-/horizon-files-prod/ed/picture/qv4e645w/7c5db8f3209735e51afae3a78e46679b113b77b9.jpg"
"1717211984-43","https://www.expat-dakar.com/machines-a-laver?page=16","Machine a laver roch 7kg a+++
Neuf
Médina,
Dakar

3. avr., 09:00

179 900 F Cfa

776164045","https://www.expat-dakar.com/annonce/machine-a-laver-roch-7kg-a-6028684","Machine a laver roch 7kg a+++","Neuf","Médina

Dakar","179 900 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/adfb7eb38d742beb7744b57834c91a1c/-/horizon-files-prod/ed/picture/qdekgkxw/c14df8e78a052c0aa211b59d824adeb3ad18d841.jpg"
"1717211988-44","https://www.expat-dakar.com/machines-a-laver?page=16","Machine a laver indesit 6kg
Venant
Colobane,
Dakar

4. avr., 18:29

125 000 F Cfa

772095510","https://www.expat-dakar.com/annonce/machine-a-laver-indesit-6kg-6041434","Machine a laver indesit 6kg","Venant","Colobane

Dakar","125 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/2c47bcee376b06ad54aaa757c235dd2b/-/horizon-files-prod/ed/picture/qm5pej6q/7eefc0e31965c9a93f6d36af4ac3e86ce606aa2d.jpg"
"1717211993-45","https://www.expat-dakar.com/machines-a-laver?page=16","Machine à laver Hisense 7,5kg
Neuf
Keur Massar,
Dakar

10. mai, 20:00

130 000 F Cfa

772046033","https://www.expat-dakar.com/annonce/machine-a-laver-hisense-75kg-6041508","Machine à laver Hisense 7,5kg","Neuf","Keur Massar

Dakar","130 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9c3311556796a87f00e3adffdd1d7d4a/-/horizon-files-prod/ed/picture/q8v5w9n0/1c7757d9295656e017bb4d78b1d869e4a0d1fb79.jpg"
