web-scraper-order,web-scraper-start-url,article_link,article_link-href,details,adresse,prix,etat,image_lien-src
"1717212229-97","https://www.expat-dakar.com/cuisinieres-fours?page=11","Plaque de cuisson 4 feux gaz
Neuf
Mbour,
Thiès

dimanche, 05:03

150 000 F Cfa

774086089

778540224","https://www.expat-dakar.com/annonce/plaque-de-cuisson-4-feux-gaz-6000266","Plaque de cuisson 4 feux gaz","Mbour

Thiès","150 000 F Cfa","Neuf","https://i.roamcdn.net/hz/ed/listing-thumb-543w/df1e75e1f6f15958635a30fceb51ae60/-/horizon-files-prod/ed/picture/q6xk2mqv/d9ab3b691bc1f1ca7e67d1330fa13c5502bf6e7b.jpg"
"1717212232-98","https://www.expat-dakar.com/cuisinieres-fours?page=11","MIOCRO FOUR TECHNOLUX ELECTRIQUE
Neuf
Plateau,
Dakar

7. mai, 11:04

55 000 F Cfa

779152473

776784088","https://www.expat-dakar.com/annonce/miocro-four-technolux-electrique-6051866","MIOCRO FOUR TECHNOLUX ELECTRIQUE","Plateau

Dakar","55 000 F Cfa","Neuf","https://i.roamcdn.net/hz/ed/listing-thumb-543w/b79159520ba6cec8ed423f3c6201010c/-/horizon-files-prod/ed/picture/q6xkprpp/59ba70045b5a5db9a10d5ace3f7232ee0ecb4530.jpg"
"1717212235-99","https://www.expat-dakar.com/cuisinieres-fours?page=11","Cuisinière astech 5 feux
Neuf
Mbao,
Dakar

15. mai, 11:45

195 000 F Cfa

772828509","https://www.expat-dakar.com/annonce/cuisiniere-astech-5-feux-6065433","Cuisinière astech 5 feux","Mbao

Dakar","195 000 F Cfa","Neuf","https://i.roamcdn.net/hz/ed/listing-thumb-543w/85fa8b085cf7660ca7af56e95cd08f5b/-/horizon-files-prod/ed/picture/qxj20n0z/78c27e63c7cf9058e57577c68c8bf24b585fa8a5.jpg"
"1717212241-100","https://www.expat-dakar.com/cuisinieres-fours?page=10","Micro Four Haier 36L
Neuf
Point-e,
Dakar

8. mai, 11:31

Vendeur vérifié

49 000 F Cfa

65 000 F Cfa

Économisez 24.6%

775339898","https://www.expat-dakar.com/annonce/micro-four-haier-36l-6032746","Micro Four Haier 36L","Point-e

Dakar","65 000 F Cfa","Neuf","https://i.roamcdn.net/hz/ed/listing-thumb-543w/4f04fd21c396e2b531d2903d924de7e4/-/horizon-files-prod/ed/picture/qv4ej59j/826c9921b24f11dc49e3ffdfc8e2f46230721e00.jpg"
"1717212244-101","https://www.expat-dakar.com/cuisinieres-fours?page=10","CUISINIERE HAIER 5 FEUX 90X60 ROUGE HCR6050EGR
Neuf
Plateau,
Dakar

8. mai, 12:57

275 000 F Cfa

772355107","https://www.expat-dakar.com/annonce/cuisiniere-haier-5-feux-90x60-rouge-hcr6050egr-6065586","CUISINIERE HAIER 5 FEUX 90X60 ROUGE HCR6050EGR","Plateau

Dakar","275 000 F Cfa","Neuf","https://i.roamcdn.net/hz/ed/listing-thumb-543w/7a2cd1e9176efe5cf17ef493ec2bf93e/-/horizon-files-prod/ed/picture/qenq0zv2/42db8ce617eefca1dbd3cc8d38ec337c47596d54.jpg"
"1717212246-102","https://www.expat-dakar.com/cuisinieres-fours?page=10","CUISINIERE CAC 4 FEUX 60X60 FULL OPTION INOX CAC60F
Neuf
Plateau,
Dakar

8. mai, 13:04

125 000 F Cfa

772355107","https://www.expat-dakar.com/annonce/cuisiniere-cac-4-feux-60x60-full-option-inox-cac60f-6065600","CUISINIERE CAC 4 FEUX 60X60 FULL OPTION INOX CAC60F","Plateau

Dakar","125 000 F Cfa","Neuf","https://i.roamcdn.net/hz/ed/listing-thumb-543w/437e058a6dfc60eb1a626943edba3903/-/horizon-files-prod/ed/picture/q6xke8q6/01ab24ec89261cba3e6d1b19953053e25041d82d.jpg"
"1717212247-102","https://www.expat-dakar.com/cuisinieres-fours?page=10","CUISINIERE CAC 4 FEUX 60X60 FULL OPTION INOX CAC60F
Neuf
Plateau,
Dakar

8. mai, 13:04

125 000 F Cfa

772355107","https://www.expat-dakar.com/annonce/cuisiniere-cac-4-feux-60x60-full-option-inox-cac60f-6065600","CUISINIERE CAC 4 FEUX 60X60 FULL OPTION INOX CAC60F","Plateau

Dakar","125 000 F Cfa","Neuf","https://i.roamcdn.net/hz/ed/listing-thumb-543w/437e058a6dfc60eb1a626943edba3903/-/horizon-files-prod/ed/picture/q6xke8q6/01ab24ec89261cba3e6d1b19953053e25041d82d.jpg"
"1717212249-103","https://www.expat-dakar.com/cuisinieres-fours?page=10","CUISINIERE ELACTRON 4FEUX 50X50 INOX EL5050
Neuf
Plateau,
Dakar

8. mai, 17:53

100 000 F Cfa

772355107","https://www.expat-dakar.com/annonce/cuisiniere-elactron-4feux-50x50-inox-el5050-6065834","CUISINIERE ELACTRON 4FEUX 50X50 INOX EL5050","Plateau

Dakar","100 000 F Cfa","Neuf","https://i.roamcdn.net/hz/ed/listing-thumb-543w/e6380f9cc4d5dacb8f15d9d1f2f6c957/-/horizon-files-prod/ed/picture/qm5pxq7w/31d2d2726af6420795f057b4080cecc2546e53df.jpg"
"1717212251-103","https://www.expat-dakar.com/cuisinieres-fours?page=10","CUISINIERE ELACTRON 4FEUX 50X50 INOX EL5050
Neuf
Plateau,
Dakar

8. mai, 17:53

100 000 F Cfa

772355107","https://www.expat-dakar.com/annonce/cuisiniere-elactron-4feux-50x50-inox-el5050-6065834","CUISINIERE ELACTRON 4FEUX 50X50 INOX EL5050","Plateau

Dakar","100 000 F Cfa","Neuf","https://i.roamcdn.net/hz/ed/listing-thumb-543w/e6380f9cc4d5dacb8f15d9d1f2f6c957/-/horizon-files-prod/ed/picture/qm5pxq7w/31d2d2726af6420795f057b4080cecc2546e53df.jpg"
"1717212253-104","https://www.expat-dakar.com/cuisinieres-fours?page=10","Air Fryer
D'occasion
Point-e,
Dakar

9. mai, 00:08

50 000 F Cfa

775784424","https://www.expat-dakar.com/annonce/air-fryer-6065984","Air Fryer","Point-e

Dakar","50 000 F Cfa","D'occasion","https://i.roamcdn.net/hz/ed/listing-thumb-543w/727be6df46c1a19f3389daea0d6984f1/-/horizon-files-prod/ed/picture/qdekvqrj/99299eb2c1a35c4b5b63aeeb1324753a394ccd55.jpg"
"1717212254-104","https://www.expat-dakar.com/cuisinieres-fours?page=10","Air Fryer
D'occasion
Point-e,
Dakar

9. mai, 00:08

50 000 F Cfa

775784424","https://www.expat-dakar.com/annonce/air-fryer-6065984","Air Fryer","Point-e

Dakar","50 000 F Cfa","D'occasion","https://i.roamcdn.net/hz/ed/listing-thumb-543w/727be6df46c1a19f3389daea0d6984f1/-/horizon-files-prod/ed/picture/qdekvqrj/99299eb2c1a35c4b5b63aeeb1324753a394ccd55.jpg"
"1717212256-105","https://www.expat-dakar.com/cuisinieres-fours?page=10","CUISINIERE 5FEUX ASTECH MINUTERIE FULL OPTION INOX 90X60
Neuf
Plateau,
Dakar

9. mai, 02:00

249 000 F Cfa

784626090

784626090","https://www.expat-dakar.com/annonce/cuisiniere-5feux-astech-minuterie-full-option-inox-90x60-6066026","CUISINIERE 5FEUX ASTECH MINUTERIE FULL OPTION INOX 90X60","Plateau

Dakar","249 000 F Cfa","Neuf","https://i.roamcdn.net/hz/ed/listing-thumb-543w/2db918265ff09031fabe8942bd19d5fc/-/horizon-files-prod/ed/picture/q9m9ez8w/66f1676dc30b8e622670fd6d3063f6d5434f52ee.jpg"
