details,etat,adresse,prix,image_lien
Réfrigérateur side by side Samsung,Venant,Fass Dakar,374900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/bfc38cbdb6c7ddfac7a299cd82ceb024/-/horizon-files-prod/ed/picture/qwe2d7wk/a85f1d7776a4310065bae103e0a20297142ddf53.jpg
Congélateur elactron 750L,Neuf,Plateau Dakar,375000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c920d7a92443a760b362f1fd7d03de1a/-/horizon-files-prod/ed/picture/qj4r9g98/d0da17655e7b6d449268df0a85a0f1e346b68f15.jpg
Réfrigérateur side by side Daewoo,Venant,Fass Dakar,374900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b2f958fbc87fdaa350db126b1c5c6d61/-/horizon-files-prod/ed/picture/q8v5jwgn/d284fe120778032649a05315843262c1af024e85.jpg
Réfrigérateur Samsung 3 tirois,Venant,Fass Dakar,199900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/dec7f0f5f0cee9f68d14000145891296/-/horizon-files-prod/ed/picture/q785kzgq/e645b5d560bc0f50c07a49e76a30cca7c30c3bcd.jpg
Réfrigérateur vitrine PERONI,Venant,Fass Dakar,164900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/57bffe6181d311cc45fc5873837b9e40/-/horizon-files-prod/ed/picture/q9m9pqg7/8880f730e9bf1f35e5dc35e938701b0678018f9a.jpg
Réfrigérateur,D'occasion,Keur Massar Dakar,230000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8f48e9b3574da46250706922892029d7/-/horizon-files-prod/ed/picture/qzvd569q/a8577c5866d2c7b3a6667ca7ea31fc919e5a0980.jpg
Congélateur horizontal Astech CH520WB 520L,Neuf,Plateau Dakar,247500,https://i.roamcdn.net/hz/ed/listing-thumb-543w/26f1d941f026d9282cecfb6a3c3acf1f/-/horizon-files-prod/ed/picture/qv4e2678/6adc8ef90e3e9681a58e8a70b0d496ebe01653a1.jpg
Congélateur horizontal Astech CH920AC 920L,Neuf,Plateau Dakar,700000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/eb68948065c4f7340e238a8692b785bf/-/horizon-files-prod/ed/picture/qq47mem4/9eb018d6f2ddaa80b3ffeab50750b1f689d436e2.jpg
CONGELATEUR ASTECH CH800GM,Neuf,Plateau Dakar,390000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/169482db1c93a1d9d66c3d30180a3f18/-/horizon-files-prod/ed/picture/q448xvx8/0d4bf5dad17d0813f227efe04c37a3990684cc9b.jpg
CONGELATEUR CH700GM HORIZONTALE ASTECH,Neuf,Plateau Dakar,365000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/30531bdfe300091376c1ad4545ca6066/-/horizon-files-prod/ed/picture/qgq9vev4/6bf1406791027441a7064566842cb36c1f5b9c30.jpg
Congélateur horizontal Astech Ch400GM 400L,Neuf,Plateau Dakar,215000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/260df041606f39907af4c646f996f0a7/-/horizon-files-prod/ed/picture/qdek5p5j/d04c577cdf46080a48375da04de1865adfb5ea5c.jpg
CONGÉLATEUR FINIX BD 200 LITRES,Neuf,Médina Dakar,160000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/96b3bb31118a549b783123cc2cfbcf2a/-/horizon-files-prod/ed/picture/qwe2dvm6/732cb5826d4fe6e99db3571efa4ba2566ebf96cd.jpg
CONGELATEUR HORIZONTAL ASTECH CH400W 400L,Neuf,Plateau Dakar,205000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a13d10ad3a08fbadb78ae8d7e59389cf/-/horizon-files-prod/ed/picture/qenq6e6z/e6d7841f224d8f7e0c0d077abe475b2701270bd7.jpg
Congélateur horizontal Astech CH300IG 300L,Neuf,Plateau Dakar,160000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/bf560aa8f6abee51e8d4468127227aca/-/horizon-files-prod/ed/picture/qv4e2628/b8196efd6f2500a1133a05dd03d0d580fed8a2d1.jpg
Congélateur horizontal Astech CH280W 280L,Neuf,Plateau Dakar,138500,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6992fba28715311379382a34da2ab570/-/horizon-files-prod/ed/picture/q8v5jwqz/2d2d5472491a1ad351f7b03e7f418fe1169a6837.jpg
Congélateur horizontale ASTECH CH195W 195L,Neuf,Plateau Dakar,118000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1f2453aabadbd2e679202a40a0fef57e/-/horizon-files-prod/ed/picture/qgq9ve24/6be000fe27248a77a984fe3fb005ddfd85529304.jpg
Congélateur Astech 280L A+,Neuf,Ouakam Dakar,160000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e1db5a6ea141c773b42fcc1a77ef0060/-/horizon-files-prod/ed/picture/qxj25v48/06bb0e3a8d9667a9a620ac5fc9d2fca1a251058f.jpg
Congélateur horizontal CH-160 Astech,Neuf,Plateau Dakar,92500,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d20083e53ffc5461dd05a0c10006143f/-/horizon-files-prod/ed/picture/qdek5pxj/e66e3379834aacbae845c91a449ba8bf5c3ed560.jpg
Congélateur horizontal ROCH rcf400,Neuf,Plateau Dakar,215000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0d2820b77e02a623aad39abe26e2e604/-/horizon-files-prod/ed/picture/q448xkn9/672cf185ed6f2791656f28da75999a88db7edf42.jpg
Congélateur horizontal ROCH RCF700,Neuf,Plateau Dakar,359900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f9655bed4b37a2dfdcd3acc906589aa5/-/horizon-files-prod/ed/picture/qdek589w/7c04eaee1f7118d94b1f954b305ded42f86fad54.jpg
CONGELTEUR SMART TECHNOLOGY,Neuf,Plateau Dakar,160000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/66bf5a2f914cdc21c43c8e3e4ebc4891/-/horizon-files-prod/ed/picture/qenq60nx/a2418556c0800d246a842eea378d8f9e5dcf368b.jpg
CONGÉLATEUR SMART TECHNOLOGY,Neuf,Plateau Dakar,99000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4f409ef089d7566eef0be45d123f6cc5/-/horizon-files-prod/ed/picture/q448xzjz/996838aebd68ef28562b07a47cae5cc8df99a1a5.jpg
CONGELATEUR HISENSE HORIZONTAL 660LITRES SILVER,Neuf,Plateau Dakar,415000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/dd0a3c2814dae680ef8a1d63238e5da3/-/horizon-files-prod/ed/picture/qrzvgpr5/d0cca3a99d70a75d5480c44e0dd7741751d87479.jpg
RÉFRIGÉRATEUR 322LITRES ASTECH COMBINÉ 3TIROIRS,Neuf,Plateau Dakar,319000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4edfa2abb7605d9c6d494becf6d10548/-/horizon-files-prod/ed/picture/qrzvgp62/976e7d50d0c0f631290803ae50d146f857634feb.jpg
PROMO CONGÉLATEUR ELACTRON HORIZONTAL 150LITRES,Neuf,Plateau Dakar,110000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/bae42a8b81d2e04116178efefa4b929b/-/horizon-files-prod/ed/picture/qdek5v22/3f8e3e2bf2440025bda98e5ce14d565395b9aa85.jpg
