details,etat,adresse,prix,image_lien
PROMO CONGÉLATEUR 600LITRES WHIRPOOL HORIZONTAL BLANC,Neuf,Plateau Dakar,305000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d0ab34d011a6fdd1db0d22e51401864d/-/horizon-files-prod/ed/picture/qrzvdzz9/4d10c949a58b7b060fda2dfe0bc943f03f6093f8.jpg
Réfrigérateur Combiné Astech 3 Tiroirs,Neuf,Plateau Dakar,170000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/927d74e808835eed1e8aa42db1c7d98d/-/horizon-files-prod/ed/picture/q787v0em/13eaaf650ba2001e29d24122d529aa498d502253.jpg
PROMO CONGÉLATEUR 800LITRES HAIER HORIZONTAL BLANC,Neuf,Plateau Dakar,529000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f8f44e6981fcfab9aeae10176e146e1a/-/horizon-files-prod/ed/picture/qj4rv4j4/5914855355ba33094abe23597230f22606928c37.jpg
PROMO CONGÉLATEUR 300LITRES FINIX HORIZONTAL,Neuf,Plateau Dakar,179000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/869132fe08df0a8bcd5418567b869ffa/-/horizon-files-prod/ed/picture/qenqgn59/b7175fa5290e7e83834fe2b8ff9264bd112efc5b.jpg
Refrigerateur ENDURO 550 Litres RDS550BG,Neuf,Colobane Dakar,280000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3130cc8c2191a4b2f390350fc7583bc0/-/horizon-files-prod/ed/picture/qzvdmwj8/0f2d0dc5081cbfbbdf6b28d21bee1ea0d58ccb63.png
Frigo combiné,D'occasion,Ouakam Dakar,100000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b7ada9ab210516044a9810808b7ce5ae/-/horizon-files-prod/ed/picture/qngxrgdk/279d64f54c70da2f71e7e3d619acc6257aebc85c.jpg
Combiné Beko 3 Tiroirs 240L,Neuf,Plateau Dakar,230000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/542fd4770b56ea16aaf975d2fd966732/-/horizon-files-prod/ed/picture/qj4r9mvr/cca4ab82a5440937994dc87b66d15a2a12684af8.jpg
REFRIGERATEUR COMBINE 252L FINIX 252,Neuf,Plateau Dakar,199000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cb591ba1e7481ee9f27cae9bc6a9b802/-/horizon-files-prod/ed/picture/qxj6epmn/83b8b580a00e7e6a51e4f64ed2650195da6c4d0d.png
REFRIGERATEUR SBS 620L FINIX 620 4 PORT,Neuf,Plateau Dakar,569900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/820d9f307d98d669032469fbf680a021/-/horizon-files-prod/ed/picture/q8vzx470/5701c974af7d4ef5bd4fb24df4a23babb320c7a7.png
Frigo bar avec chambre froide 120l,Venant,Derkle Dakar,65000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6274a91c8ca1e6f5b6b954b63458b971/-/horizon-files-prod/ed/picture/q785n7jq/774153cd25b545b976c7151d4bae458919599d51.jpg
Congélateur Astech 280L,Neuf,Plateau Dakar,140000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c5fc2e4565920ab01d781b3f3e6c69b7/-/horizon-files-prod/ed/picture/q56x74z5/d7a2dedb97ba016f99d56889c13eb7c7e6607925.jpg
Réfrigérateur Combiné Astech 4 Tiroirs,Neuf,Plateau Dakar,225000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1747581c067a10ad6f8db0a482fd362b/-/horizon-files-prod/ed/picture/qv4enpkj/4d769eef9c62b92f2461f9895143f95b134c24e1.jpg
Congélateur Astech 400L,Neuf,Plateau Dakar,210000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9ec0c85c37559bb3073293a0754c0003/-/horizon-files-prod/ed/picture/q0gwm29j/7eb02babddd6958a3db9311821c6ad238eceb23a.jpg
CONGÉLATEUR ELACTRON EF 200 LITRES TRÈS BONNE QUALITÉ,Neuf,Médina Dakar,155000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/05dd80a05263c802a131ab7423117283/-/horizon-files-prod/ed/picture/qpd6kw8j/b807fa203163a69a56b2204f91e0b1d701bfe3d3.jpg
PROMO CONGÉLATEUR 400LITRES ASTECH HORIZONTAL VITRINE,Neuf,Plateau Dakar,259000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6f04fc85a11a676f5b002741fb8e5b1d/-/horizon-files-prod/ed/picture/qxj246m8/6ddb353019d32896ffe19d5c2f32a117c52960f9.jpg
PROMO RÉFRIGÉRATEUR 336LITRES ASTECH COMBINÉ 3TIROIRS,Neuf,Plateau Dakar,289000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/af77145b00c07c3804b1adf8787ccfaa/-/horizon-files-prod/ed/picture/qj4rvjgz/cd02b16abdd26a72ab806e1360c5e9262b9ecf45.jpg
PROMO RÉFRIGÉRATEUR 322LITRES ASTECH COMBINÉ 3TIROIRS,Neuf,Plateau Dakar,305000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/840a3e4a0833eb019963f1bd6f0f5c06/-/horizon-files-prod/ed/picture/q8v5qz7z/b45ee8c69f24ba38053fded68679e536e7dbf2ca.jpg
PROMO FONTAINE ELACTRON AVEC FRIGO BLANC,Neuf,Plateau Dakar,73000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2518db72831bdfc21dc9fc57f65752cc/-/horizon-files-prod/ed/picture/qgq92g64/b6a95f1f5e3b4400e1eb7033ed16d18826082fdc.jpg
Frigo combiné deska 3TIROIRS,Neuf,Plateau Dakar,199900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/061ea2809f1c8e658e13e943ec098ae3/-/horizon-files-prod/ed/picture/q2jqprxd/9ff4b47afb852bccd0e1b4c7489133b6842c5d85.jpg
Frigo combiné deska 4tiroir BF-309,Neuf,Plateau Dakar,199900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/254db913dde8acd064b8cb4799b74b1a/-/horizon-files-prod/ed/picture/q6xk06jj/d9f7a7cbdb713411494dc4c14c45fe5039013fa6.jpg
Split 9000btu DESKA soit 1.25Cv,Neuf,Plateau Dakar,132000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9c63b4b01697b29fd64799ca90e32f77/-/horizon-files-prod/ed/picture/qwe2qz7m/6f3995152aa12f8246a9b8baa1e711ef8569ba9d.jpg
Split 12000btu DESKA soit 1.5Cv,Neuf,Plateau Dakar,143000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fc9ae0035fb5006f07298f9d1904189a/-/horizon-files-prod/ed/picture/q8v5qzwz/defd1f1c6edb09b1823821a9a0ff1dbb9627fea6.jpg
Split 9000btu astech soit 1.25Cv,Neuf,Plateau Dakar,143000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/641ac6d0208ee97df554162bea6c95d5/-/horizon-files-prod/ed/picture/qgq92ge4/69cdf532dc0328d7049ea52c7e8ff1227d0dc656.jpg
Congélateur 600L horizontal astech CH600,Neuf,Plateau Dakar,312000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/14b2b98ffdce1ef9272a309100dd4aad/-/horizon-files-prod/ed/picture/q785n7zz/fd14697718e33013a027b1632c160146f90638a6.jpg
PROMO CONGÉLATEUR 750LITRES ÉLECTRON HORIZONTAL,Neuf,Plateau Dakar,349000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1a0fb3e69cb836921c5180b4448aeb69/-/horizon-files-prod/ed/picture/q0gwm2je/b69484a7365033932a1358cb415174773c2796a4.jpg
Frigo combiné 3T 420L BEKO,Neuf,Plateau Dakar,325000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1f06760c5354ac214c2c08da5efac99d/-/horizon-files-prod/ed/picture/q6xxjmg6/3e42657f43b4c5885c354ad4b9944c45918279db.jpg
Frigo astech combiné 4T NOFROST,Neuf,Plateau Dakar,278000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b09e2380b30b6ef34a3956cd5e7f8f5f/-/horizon-files-prod/ed/picture/q8v5qz6z/f8b6e906ac8c0335d749ae97051d5bd81cb55c2c.jpg
PROMO CONGÉLATEUR 600LITRES HORIZONTAL VITRINE,Neuf,Plateau Dakar,369000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3cebf0b2bb20f8580ce4b2573a551c46/-/horizon-files-prod/ed/picture/qq47pd04/37aa08cc2866cc132498539848b64c38db6ca764.jpg
PROMO CONGÉLATEUR ÉLECTRON VERTICAL 6TIROIRS,Neuf,Plateau Dakar,219000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/556adbe0d15f9a264a2b00b8590e0690/-/horizon-files-prod/ed/picture/q448edk8/4b8c210976bf94c6af4fe5674b4115f44395e2c9.jpg
PROMO CONGÉLATEUR 900LITRES ÉLECTRON HORIZONTAL,Neuf,Plateau Dakar,459000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/430b0546ba84ee3c5d21f0f47a0c12aa/-/horizon-files-prod/ed/picture/qgq92gx4/846a9785cae461934fd7e794fbcfc3d1809ed411.jpg
PROMO RÉFRIGÉRATEUR 324LITRES ASTECH COMBINÉ 3TIROIRS,Neuf,Plateau Dakar,295000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7f94c1ceb53a39379eb6457bba712dd4/-/horizon-files-prod/ed/picture/qzvdg4mk/691f3b3613624a2f9455eadcaf1d4360d668d6f4.jpg
PROMO RÉFRIGÉRATEUR 529LITRES ELACTON SIDE BY SIDE,Neuf,Plateau Dakar,649000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/71afacf8b5dd08455c95e0e6e29c5320/-/horizon-files-prod/ed/picture/qv4enp88/a1f30af6015774754c939cde6947ce43c53cb889.jpg
REFRIGERATEUR,D'occasion,Parcelles Assainies Dakar,60000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d0cb4fe747d460d5e0314928e998768c/-/horizon-files-prod/ed/picture/qq47p79n/8a3d6a5068aec5b7a0e5a08b39d968b27d502750.jpg
Ventilateur BINATONE à eau 20L BAC-20L,Neuf,Plateau Dakar,73500,https://i.roamcdn.net/hz/ed/listing-thumb-543w/74852397e0adf74355751cdcaf3fd717/-/horizon-files-prod/ed/picture/qxj242g0/cac5d5ee53f61772047e6f8a2d80e48a91d08f88.jpg
Réfrigérateur Astech FC280VT 4 tiroirs,Neuf,Plateau Dakar,220000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ca89b16397f9f7615a73fe1137c8e94d/-/horizon-files-prod/ed/picture/q785n5xg/6d572f0cf38634117bfcdc8c1b383c3f3d2c3934.jpg
Matériels venant d'Italie,Venant,Parcelles Assainies Dakar,2,https://i.roamcdn.net/hz/ed/listing-thumb-543w/842a9e34ae9b88314e8b556f732efec3/-/horizon-files-prod/ed/picture/q785n7mj/604151b8acf26e7d03b35be9772ed963f2592894.jpg
Réfrigérateur side bybside Daevoo,Venant,Colobane Dakar,375000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7b53edf0edde0503a3c8be2900da4cd4/-/horizon-files-prod/ed/picture/q8v5q5dp/256360f8ed7ac11ac20a1ec5502c07127f8a0bf3.jpg
Réfrigérateur side by side Samsung,Venant,Colobane Dakar,375000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/66fb0f01074f5bcf1e0f536f39cbe654/-/horizon-files-prod/ed/picture/qpd6k67r/28502691354b87bbf28a0f04c7b3bd88744e47b4.jpg
CONGELATEUR ELACTRON HORIZONTAL 900LITRES SILVER EL39CFS,Neuf,Plateau Dakar,469900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/970b3e19674293f2f818bbeac54ad8d2/-/horizon-files-prod/ed/picture/qxj20pn4/00327e1bd9c7b2b75a2dd8b5e07d1f4556c98381.jpg
Réfrigérateur bar Élactron 2portes,Neuf,Ouakam Dakar,100000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d6c2d705227a3330f03585e524194f21/-/horizon-files-prod/ed/picture/qq470d26/9e114f6aa0bd4484a20aa45890a1bd5f95a42d4a.jpg
congélateur astech 400l A+,Neuf,Ouakam Dakar,249999,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3ce8ec63db85332f2c6c8f764e3e81ab/-/horizon-files-prod/ed/picture/qwe2dpkm/c748adfc0c872202a6661d35c614a51d43c8ba82.jpg
PROMO RÉFRIGÉRATEUR 53LITRES SMART TECHNOLOGY BAR 2PORTES,Neuf,Plateau Dakar,72000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7d200e1b86457adeffb0b846bfdfdf21/-/horizon-files-prod/ed/picture/qrzvd8v2/edeb18da740578a3a5ff4f9ad624099f13d173fb.jpg
PROMO CONGÉLATEUR 400LITRES SMART TECHNOLOGY HORIZONTAL,Neuf,Plateau Dakar,215000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4b1f22cbc76c923bb8a797adef7198e1/-/horizon-files-prod/ed/picture/qxj24ppj/c28e33ace4d5ac6bb77eb168fca55d81b59109e9.jpg
PROMO CONGÉLATEUR 250LITRES SMART TECHNOLOGY HORIZONTAL,Neuf,Plateau Dakar,139000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/46f40427b657a4a0679b2c7ee5f9e8f9/-/horizon-files-prod/ed/picture/qenqgvv2/86cadace6f40f068a72a0171124d1da6d406227b.jpg
PROMO CONGÉLATEUR 200LITRES SMART TECHNOLOGY HORIZONTAL,Neuf,Plateau Dakar,129000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b27142c666a858e1946a4e0aebc2997f/-/horizon-files-prod/ed/picture/q2jqp0k8/6febc5a3c50b1721ec70d6b2b8715293bb960f84.jpg
PROMO RÉFRIGÉRATEUR 274LITRES ASTECH VITRINE,Neuf,Plateau Dakar,269000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/21be1899de89c658d8815faf95e405e9/-/horizon-files-prod/ed/picture/qngxrp9e/99e1bfe59f7f93f9190ef95ecf9496b3de95b102.jpg
PROMO CONGÉLATEUR 206LITRES ASTECH 6TIROIRS NO FROST,Neuf,Plateau Dakar,279000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5c998d80098d309af41cd376e0980f69/-/horizon-files-prod/ed/picture/q8v5q4mj/beae4a12167ef86c8fa53acdc11bbb4029443d7d.jpg
PROMO CONGÉLATEUR 380LITRES ASTECH 7TIROIRS,Neuf,Plateau Dakar,379000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2c512d9bb73bad0a0084072394ce2bc9/-/horizon-files-prod/ed/picture/qxj24pgj/2ef66d5184a00f4e81ae1e44c998b8a3c423215c.jpg
PROMO RÉFRIGÉRATEUR 622LITRES ASTECH SIDE BY SIDE 2PORTES,Neuf,Plateau Dakar,498000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ffdbbdc7cf405645e1a6818711228f16/-/horizon-files-prod/ed/picture/q2jqp078/f47b26a3f8ad8ad0a8d22c7b89c324f7451541c9.jpg
PROMO RÉFRIGÉRATEUR 384LITRES ASTECH VITRINE 1 PORTE,Neuf,Plateau Dakar,329000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2c1e7dd32317842b4237bc0e0658e943/-/horizon-files-prod/ed/picture/q6xk0dn4/5e06c5893313de769f43fd4d2909645c357ddd84.jpg
PROMO RÉFRIGÉRATEUR 614LITRES SAMSUNG SIDE BY SIDE FAMILY,Neuf,Plateau Dakar,2200000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4e221529811625fdc0c8c74b854313e3/-/horizon-files-prod/ed/picture/qq47p29j/519889a6c57af7bb58804684aa55528a4ffd28b8.jpg
FRIGO COMBINÉ ASTECH FC 280S 4 TIROIRS A+,Neuf,Médina Dakar,280000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/94689902ae59051545ae32439f4cb520/-/horizon-files-prod/ed/picture/qv4e28g2/818579fc1f8ffbfa9918371907e37add454261dc.jpg
PROMO CONGÉLATEUR 425LITRES HAIER HORIZONTAL BLANC,Neuf,Plateau Dakar,249000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c47e6fa00490549c1c9b94022287a2b4/-/horizon-files-prod/ed/picture/qzvdgp5q/9881fbfd0a4329bed881efd606dc637c87a42a83.jpg
CONGÉLATEUR 450LITRES HAIER HORIZONTAL INVERTER SILVER,Neuf,Plateau Dakar,259000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1abab0654ffc1ba9e0d9cf83197fc4b7/-/horizon-files-prod/ed/picture/qwe2qp5d/0dd8c943eb68e75d698d5c8d246b661b7e83ce07.jpg
PROMO CONGÉLATEUR 830LITRES FINIX HORIZONTAL 2PORTES COFFRE,Neuf,Plateau Dakar,469000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/66b0a6acf475536a7f1ed180eb01e08f/-/horizon-files-prod/ed/picture/q8v5q420/4d78a5853c1dead8658abde774343fbbabd94c2e.jpg
PROMO CONGÉLATEUR 250LITRES ELECTROCOOL VERTICAL 9TIROIRS,Neuf,Plateau Dakar,329000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/74d82c254acccbcdd8af2ca8177eaf99/-/horizon-files-prod/ed/picture/qgq92wkm/e872661d33ca3ebcc3a7acc9ef721113ff930bb1.jpg
Congélateur Haier hcf 478 600l,Neuf,Médina Dakar,300000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b5ba8b5ecfb550c91adfc59500f44f21/-/horizon-files-prod/ed/picture/qq47emmn/66945e4a27fd7c5035a96fc385ee613578f3300e.jpg
CONGELATEUR HAIER HORIZONTAL 900 LITRES BLANC HCF788,Neuf,Médina Dakar,530000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1d993369e59383ee414ef1a2789f2f44/-/horizon-files-prod/ed/picture/qpd6ezvj/7603e94ae64d774b9f3547c94ff91fd9bad4e4d5.jpg
Réfrigérateur combiné astech fc 280s 4 tiroirs A×,Neuf,Médina Dakar,290000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8bcc54c0b8b6c9f827460bf3c7b239b3/-/horizon-files-prod/ed/picture/q0gwmwex/a17fc1618b33dfb3e6c8e4986efd33fbc64f52cf.jpg
CLIMATISEUR TCL 12000BTU 1.5 CV R410,Neuf,Médina Dakar,195000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d0f85912721b966a8c3b4877af2fe5e7/-/horizon-files-prod/ed/picture/qj4rn0kg/51baead2d14fe861fe9b7de5df8403d3c242bd85.jpg
CONGÉLATEUR FINIX BD W 300LI,Neuf,Médina Dakar,210000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/23dc9073d54ba0fb54d53e455c8b49ce/-/horizon-files-prod/ed/picture/qxj25v9m/6ed817324c196abcba4708561ecc8176d154dd0a.png
REFRIGERATEUR DESKA VITRINE 1 PORTE,Neuf,Plateau Dakar,250000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/984c6daff7d06843a4e7f8741028645e/-/horizon-files-prod/ed/picture/q2jqenmj/b56157737ae3a434504745ccde437e785efce640.jpg
CONGELATEUR ELACTRON VERTICAL 7TIROIRS PLAQUE ALU EL73,Neuf,Plateau Dakar,310000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/801ea359a02a03fd643850e20ff5a98a/-/horizon-files-prod/ed/picture/qwe24q7p/ee763b62cd8aca1ec153dea3fb3a363529ab4129.jpg
CONGELATEUR ELACTRON VERTICAL 7TIROIRS SILVER EL74UPX,Neuf,Plateau Dakar,279900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f77025e3cc068f83608b37bc3bdaea7b/-/horizon-files-prod/ed/picture/q448kegv/6560686322c5e72b0cf6f9438d7c936f7dad3149.jpg
CONGELATEUR ELACTRON HORIZONTAL 550LITRES SILVER EL75CFS,Neuf,Plateau Dakar,275000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2aceceb177f527d6be8defda89d0f984/-/horizon-files-prod/ed/picture/qwe24q60/d3c380b57b2845b489ea875411f2e1d850c7336a.jpg
"CONGELATEUR ELACTRON
HORIZONTAL VITRINE 250LITRES SD-165BY",Neuf,Plateau Dakar,220000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ff84eafb07c166f072c4d970bb6bcd07/-/horizon-files-prod/ed/picture/qkrgj4z5/4b9dd74a1c3fb40289717bec4cdc9fcbc29ffa1b.jpg
CONGELATEUR ELACTRON HORIZONTAL VITRINE 400LITRES SD-265BY,Neuf,Plateau Dakar,269900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1118168ecca23951517ad476dd2b1e46/-/horizon-files-prod/ed/picture/q6xkpe9z/39df0c11647da3c77badc2951e55b8ab4d69f8fa.jpg
Congelateur Elactron EL75CFS HORIZONTAL 550L,Neuf,Plateau Dakar,320000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e1c71224595c5e5a052c26cadc10529a/-/horizon-files-prod/ed/picture/qzv2me6x/3b1ca39e67bf31795b2211ee387eb7fe48ab753c.jpg
Réfrigérateur combiné 2T enduro A+,Neuf,Mbao Dakar,170000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/becbe18cf72fe83afb0a0f5a4a7cc9f3/-/horizon-files-prod/ed/picture/q56x7ppx/8a045d0a1566b9764021c3998d82ad583b49b9c4.jpg
CONGELATEUR ASCOLI HORIZONTAL 300L,Neuf,Plateau Dakar,170000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5abb5c391e1b8b1b9fb78a4e2836672f/-/horizon-files-prod/ed/picture/q5642k8g/0ee823e4b6274109c87de079a6a6a2e793c87615.jpg
Congélateur SOLSTAR horizontal 540L,Neuf,Plateau Dakar,310000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9ea47ebb017084370047b46e5eb10383/-/horizon-files-prod/ed/picture/qrz2950g/59e2299891da8ea851d1fff8a32819b260115433.jpg
Congélateur 6t béko plaque aluminium,Neuf,Mbao Dakar,260000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/bd5b7a4193a15f050bd955491b29fc9a/-/horizon-files-prod/ed/picture/q6xk0qnn/68a21b26c202a1cfffdad20e08c6eac3435be9df.jpg
Congelateur ASTECH horizontal 550L,Neuf,Plateau Dakar,310000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/84fc1cf4953be3bb5f14873ae616df3f/-/horizon-files-prod/ed/picture/qv4m8xq5/3e10e650d2a9f3702e92e32c97190d1cde2259f1.jpg
REFRIGERATEUR SAMSUNG SIDE BY SIDE 2PORTES AVEC,Neuf,Fass Dakar,1550000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/178f1cadf6f77dfb7b63636a2b1bfd02/-/horizon-files-prod/ed/picture/qxj248xw/ad5e59cce2aac5d0b61cb929568dfc66d42d0fb4.jpg
Congélateur Roch 300L,Neuf,Ouakam Dakar,190000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0a44311bf28b355354241897af28798d/-/horizon-files-prod/ed/picture/qrzvg928/a02d0f39ad14f873728cd5479bad4b34949d08f4.jpg
REFRIGERATEUR SMART TECHNOLOGY BAR 2PORTES SILVER,Neuf,Fass Dakar,94900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ebbe2d01b92b9f904429a720c2ed201d/-/horizon-files-prod/ed/picture/qm5p804j/0fb13b1ef7b72c3b0c6663a171ad81ae77d9be9a.jpg
REFRIGERATEUR DESKA BAR 1PORTE SD -97DK,Neuf,Fass Dakar,89900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/264169118a9f38598a5ab2e44d75c318/-/horizon-files-prod/ed/picture/q0gwmkzm/dbbb52bf25a59a0cb88418073080ece26293b282.jpg
CONGELATEUR 400L BEKO ORIZONTALE,Neuf,Plateau Dakar,250000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fb1c651f9bb3ed3199f3873aa2180ef9/-/horizon-files-prod/ed/picture/q8v5q49n/a22e58f59c0b279402dbf44f9153ce81d8c72187.jpg
Congélateur 300 litre smart,Neuf,Colobane Dakar,164900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/afd1cba99f78c0c0f0dd7a96637acb9b/-/horizon-files-prod/ed/picture/qwe249xk/c20f8a1f14b51c3573cd28b2513f951657745f90.jpg
Congélateur 200 litre ascoli,Neuf,Colobane Dakar,119900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4bad1087b5fb49a00b28d6c3bfa336b5/-/horizon-files-prod/ed/picture/qrzvxe68/7091dff4e10b9d65758ca304b6984486dc8b20ed.jpg
CONELATEUR HAIER INVERTER 400L,Neuf,Ouakam Dakar,270000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d4b92f401aff3328eee2f19fcd69aee5/-/horizon-files-prod/ed/picture/qngxr9vk/635afedb6540a48686e1ea97ca6d0dd93d89a3d3.jpg
CONGELATEUR ASTECH 195L A+,Neuf,Ouakam Dakar,139999,https://i.roamcdn.net/hz/ed/listing-thumb-543w/35330f87258c181d8afa5b0824688819/-/horizon-files-prod/ed/picture/q8vzwm8j/b164e2645b5dfe40aaf6991f0bcd4951f62c4a8b.jpg
Réfrigérateur 3T,Neuf,Plateau Dakar,230000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c765e1aeff5859339a31fa05841ec324/-/horizon-files-prod/ed/picture/qq47xgr6/1f0ae7a1854797e22a4e8b40e99c34d0961c8972.jpg
Congélateur vitrine 400 litre,Neuf,Colobane Dakar,265000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3a434534ef9800656c1904425a853905/-/horizon-files-prod/ed/picture/qzvd7zrd/33ddde64d903922181ae67e10b5c8d2fe0b277a9.jpg
Congélateur 540 L,Neuf,Liberte 4 Dakar,275000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/64bbd567ff9104912f7ea0b8f88c2707/-/horizon-files-prod/ed/picture/qj4rvpjr/1f35d2d7bec20e09d98b11f4858a05c5fbadffc3.jpg
Réfrigérateur 8 T,Neuf,Liberte 4 Dakar,260000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/87c8d37686c44520faea08ab22dbb273/-/horizon-files-prod/ed/picture/qngxr7dv/a8f3adf80deaa5a4020768cb6fd319fdfdfc320b.jpg
Congélateur Astech 160L,Neuf,Point-e Dakar,115000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/910e77bff53c5d9f070f2a3a5ee8cc2c/-/horizon-files-prod/ed/picture/qxj24dpm/894786ec19e98578c0adc9fb07750a6150804135.jpg
Congélateur Astech 300L,Neuf,Point-e Dakar,175000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a285f313adb71cd9f7be6d9886becd52/-/horizon-files-prod/ed/picture/q6xk07qd/139185fac1d43e120ae4c8fa12771be637ef27c3.jpg
Congélateur Astech 400L,Neuf,Point-e Dakar,220000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cfb40e8597dda24d1eefb8a49612c1e1/-/horizon-files-prod/ed/picture/qngxr59w/b5fd20596a8e5801920548fd4fec4942ecea2a91.jpg
Réfrigérateur 2 porte 3 tiroirs,Venant,Colobane Dakar,144900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/62190477b61bcbbbc571652e62f04425/-/horizon-files-prod/ed/picture/qxj24g24/caacb486868001cfecf3b3807a2d1b6ecd8038b9.jpg
FRIGO COMBINÉ SHARP SJ DC 320S 4 TIROIRS,Neuf,Plateau Dakar,275000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3be1c7c7aa10ba23568522d089d4e752/-/horizon-files-prod/ed/picture/qz7drjk/40979464a164cfebb02dc425b3045c89319258f8.jpg
Congélateur Astech 300L,Neuf,Plateau Dakar,165000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f817050f97aa6ba4ff4efb0cd45e5505/-/horizon-files-prod/ed/picture/q785grmx/db1d8b26d3d70a4973170106698e8d1c40f07693.jpg
