details,etat,adresse,prix,image_lien
MACHINE A LAVER 9KG ELACTRON BLANC,Neuf,Plateau Dakar,239000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3c7afbe26027734748bbb43f70ba3de0/-/horizon-files-prod/ed/picture/qpd64nkx/d9f8c88846269f5b4541777ac6ff847efac940da.jpg
MACHINE A LAVER 12KG ELACTRON NOIR A+++,Neuf,Plateau Dakar,329000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/bb9c3fddd2aab4737f9aabe14dc6b576/-/horizon-files-prod/ed/picture/qdekg2rr/922df3fc64195402f7bb28daefade0ddc413a9c9.jpg
Machine à laver,Neuf,Sacré-cœur Dakar,75000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/04b84c76baa68fa700659cf9d2f281e2/-/horizon-files-prod/ed/picture/qgq964xm/4b10b11401c2e273f608221275d6504c3e422400.jpg
MACHINE A LAVER SAMSUNG 9KG A+++ SILVER,Neuf,Plateau Dakar,349000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9aa5510ab47fd1ee5bcafa9b8738973b/-/horizon-files-prod/ed/picture/q8v5799r/cadff2616497da6a11af4084becc0c26c46d6450.jpg
Beko 8kg,Venant,Liberte 6 extension Dakar,150000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9b6dc7a2756d75aa499fda5de34e3654/-/horizon-files-prod/ed/picture/qenqkwvx/6be6ec69c89e5d83ff5804ea58fe9bb1991a82cf.jpg
Samsung 6kg,D'occasion,Liberte 6 extension Dakar,120000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1232d5fbf28b5748c44827d869c4da8c/-/horizon-files-prod/ed/picture/qrzvx7ng/32dccd1515bdea4e8315edb72d5ae471a435664e.jpg
Machine à laver 8 kg,Neuf,VDN Dakar,190000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/af662c01cb06e5f95b96c53a4d4e7e0e/-/horizon-files-prod/ed/picture/qgqq2nkq/b12df34c19941060b46d067237265d26b36f4e75.jpg
Machine a laver roch 6kg,Neuf,Colobane Dakar,165000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/41657fe2b442e1671fef29080fd1aa42/-/horizon-files-prod/ed/picture/q6xkj9rj/ca94250aa779d7e0cd5663481c08948ea2eb2c2a.jpg
MACHINE A LAVER DESKA 8KG SEMI AUTOMATIQUE,Neuf,Plateau Dakar,119000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d345e3b0fda0078504cf8a30779e3bf5/-/horizon-files-prod/ed/picture/qv4ej6j2/908c9a9dee68e4191ac1faa842463c8d2f77368a.jpg
MACHINE A LAVER 7KGS FINIX WG1049,Neuf,Plateau Dakar,184900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/14ba45fdba09b6ffea7bcc6dfd825aba/-/horizon-files-prod/ed/picture/q4480v6v/4a58c82042b50937590377ca87bb9abc28edf5e4.jpg
Machine à Laver Hisense 6Kgs,Neuf,Point-e Dakar,190000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a072a4e4c0e5b50eccc8057422eb5fff/-/horizon-files-prod/ed/picture/q2jqxeze/cc35272988d559a7d194bdde23fc5ce52ea06f02.jpg
